QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption
เป้าหมายหลักของ AI Coding Assistant ในงานธุรกิจคือข้อใด,แทนที่ความรับผิดชอบของทีมทั้งหมด,แปลงโจทย์ที่ชัดเจนเป็นต้นแบบและงานย่อยที่ตรวจสอบได้,สร้างโค้ดให้ยาวที่สุด,หลีกเลี่ยงการทดสอบ,B
ก่อนเริ่มสั่ง AI ให้สร้างระบบ สิ่งใดควรถูกระบุก่อน,สีของปุ่มทุกปุ่ม,user outcome และเกณฑ์รับงาน,ชื่อไฟล์ทั้งหมด,จำนวนบรรทัดโค้ด,B
องค์ประกอบใดช่วยให้ Prompt มีคุณภาพสูง,บริบท เป้าหมาย ข้อจำกัด และรูปแบบผลลัพธ์,คำสั่งสั้นที่สุดเท่านั้น,ข้อมูลลับทั้งหมดของบริษัท,การขอหลายระบบพร้อมกัน,A
ข้อใดไม่ควรใส่ใน Prompt ให้ AI Coding Assistant,ข้อมูลจำลอง,เกณฑ์การทดสอบ,API key หรือรหัสผ่านจริง,ข้อกำหนดด้าน accessibility,C
Acceptance criteria มีหน้าที่สำคัญอย่างไร,ทำให้โค้ดยาวขึ้น,กำหนดหลักฐานว่างานผ่านตามที่ต้องการ,ใช้แทนการทดสอบ,เพิ่มค่าใช้จ่าย,B
แนวทางที่เหมาะสมที่สุดหลัง AI สร้างโค้ดคือข้อใด,นำขึ้น production ทันที,คัดลอกลงระบบโดยไม่อ่าน,อ่าน diff รันและทดสอบตามเกณฑ์รับงาน,ลบ error handling,C
การแบ่งงานให้ AI แบบใดช่วยให้ตรวจสอบง่าย,ขอสร้างทั้งแพลตฟอร์มในคำสั่งเดียว,แยก UI validation data flow และ tests เป็นงานย่อย,ไม่กำหนดขอบเขตงาน,เปลี่ยน requirement ทุกครั้ง,B
เมื่อ AI เสนอ library ใหม่ ทีมควรทำอย่างไร,ติดตั้งทันทีโดยไม่ตรวจสอบ,ตรวจความน่าเชื่อถือ license และผลกระทบต่อระบบ,ใช้เฉพาะเพราะชื่อดัง,ปิดการทดสอบก่อน,C
กรณีใดเป็นตัวอย่างของ user outcome ที่ดี,สร้างหน้าเว็บที่สวยที่สุด,ผู้จัดการอนุมัติคำขอลาได้ภายใน 2 นาทีพร้อมข้อมูลครบถ้วน,มีโค้ด 1000 บรรทัด,ใช้ framework ล่าสุด,B
สิ่งใดช่วยลดความเสี่ยงจากโค้ดที่ AI สร้าง,ขอให้ AI รับรองว่าไม่มีบั๊ก,ใช้ test cases และให้มนุษย์ review,ไม่ใช้ version control,รวมทุก feature ใน pull request เดียว,B
